nServices=50;
nDrivers=40;
nBuses=50;
maxBuses=40;
startingTime=[70 191 68 194 197 34 178 37 58 35 252 142 159 0 247 91 291 296 283 145 90 141 98 140 139 55 94 235 41 55 109 102 54 182 205 186 110 230 193 153 87 91 289 245 294 146 76 109 83 248];
durationTime=[46 32 45 46 29 59 26 49 37 56 40 22 52 35 26 52 31 31 40 29 31 60 29 32 21 20 59 27 48 32 36 28 43 59 58 37 38 33 40 32 23 28 39 52 44 54 59 54 58 23];
durationDist=[7 15 14 10 19 8 16 12 13 12 19 5 20 10 13 7 7 9 3 16 6 15 6 4 2 8 16 11 4 8 6 7 13 16 12 13 19 9 2 18 4 6 2 10 17 4 6 19 5 17];
passangers=[21 12 3 21 23 2 37 33 17 8 6 10 3 2 45 10 12 43 3 47 16 27 35 48 38 22 29 4 15 44 38 27 4 39 29 18 38 8 26 44 32 42 30 18 12 34 32 31 25 44];
capacity=[14 46 12 31 25 51 42 35 10 16 32 55 23 38 33 23 20 40 59 32 35 24 52 25 20 39 44 31 53 21 13 15 40 12 44 21 54 20 38 36 17 20 36 39 47 44 34 25 16 16];
costTime=[1.96815328134 1.93663767266 1.733800933 1.89874476001 1.37740601515 1.18788634908 1.81582691879 1.7437519092 1.15424696237 1.57452921243 1.21472078075 1.34347580759 1.60173307241 1.62379890699 1.10352577681 1.90009799676 1.91201103671 1.40792475512 1.18932737794 1.48550607815 1.62911679931 1.21348022208 1.73659831194 1.33826902599 1.31246404804 1.75492964194 1.99827528253 1.07597933417 1.9657088818 1.44216781047 1.82785691155 1.95890883316 1.63638029923 1.79469539968 1.13647408956 1.97659677462 1.20953919678 1.77582252912 1.74796410023 1.25216312662 1.659132311 1.98625276179 1.47404835639 1.74959781759 1.53786716334 1.32679351326 1.63623988974 1.45870809761 1.44694205177 1.13471961057];
costDist=[2.75578262677 2.1178235648 2.56346349367 2.06613658151 2.85834996694 4.88342660856 3.37919096645 2.2740222737 2.5934886877 3.86068687205 3.0538809087 2.28309064092 3.3618774123 2.73753546459 4.81291003157 4.33743928991 3.66805434198 3.44305657312 2.7787072349 3.25339040052 4.97572290824 2.31956018472 4.3054048912 3.26010007497 3.0518823819 4.71172790279 2.60694843149 3.23646994446 3.49468863009 3.23382162747 3.56267094398 4.1018119326 2.65052257428 3.59137246705 3.18781100871 2.48513899653 3.54534424601 2.54631639675 3.90833638848 3.88957219851 3.35191803956 2.87444351779 3.7147842754 4.45291647491 3.48392888334 2.13723798367 4.12033597903 2.28330318344 3.71705111488 3.7684674236];
maxTime=[50 47 66 45 68 76 71 60 64 52 59 50 47 46 53 67 42 53 41 76 64 53 64 40 71 40 76 67 59 73 57 50 48 57 45 63 51 75 42 56];
costBM=[6.90191743366 7.21120530739 5.02537527463 5.6814072096 6.48877794526 5.74152606667 7.30798696095 5.42688913686 6.8473710198 5.96588855721 6.73763279186 5.80029189978 7.75753262759 5.68542009723 7.89492805639 6.7149218572 5.64501938738 6.30916218556 6.37702294975 5.07794150541 7.13954427831 7.49505109364 5.39136911537 5.34205389837 6.28085010459 7.42118352928 7.70473949213 7.49266106382 5.33300587471 7.36974442033 6.80082584679 5.92810578876 5.57559892252 7.99762121826 6.00333960452 7.35537780993 6.26163021081 6.70019160727 5.5626387358 7.10530130012];
costEM=[9.13566648658 11.3413960132 10.7603879951 10.784251856 10.225368108 10.2928471962 8.81888593724 11.2629932476 9.20630789102 10.1995402952 11.5143474036 10.9043923063 10.9373315812 9.59262704174 8.69848938613 8.96391973596 10.1100673608 11.2531861778 11.3287553767 9.59514792136 8.8111994624 8.0377668041 9.29500250275 9.53273186657 11.1432584953 9.91985410708 11.863786375 10.1626482256 9.47787979685 10.2302814223 10.4763451582 11.3050741505 10.0143693651 8.80518911883 10.098316352 10.3948961546 10.7280571276 10.3833440896 11.79554475 11.610999353];
BM=[38 29 21 33 21 32 20 37 31 24 38 27 26 20 28 24 36 38 33 38 33 29 32 25 23 32 22 27 33 22 25 21 28 28 31 30 22 35 36 36];
