nServices=20;
nDrivers=15;
nBuses=20;
maxBuses=15;
startingTime=[57 147 95 40 283 148 113 240 253 139 14 190 237 118 215 3 289 54 189 38];
durationTime=[33 34 36 29 21 44 33 34 58 43 44 37 41 32 28 57 52 36 36 60];
durationDist=[8 12 15 16 6 16 6 7 10 16 7 15 14 19 8 17 12 19 11 19];
passangers=[17 28 5 32 5 36 27 20 18 33 35 4 32 2 47 48 2 44 40 7];
capacity=[56 15 48 26 57 44 10 48 19 54 17 48 31 36 47 16 16 58 37 52];
costTime=[1.07 1.34 1.83 1.59 1.02 1.57 1.87 1.19 1.74 1.02 1.03 1.62 1.96 1.34 1.42 1.61 1.97 1.15 1.44 1.52];
costDist=[2.57 2.84 2.59 4.83 2.97 4.06 4.42 4.49 3.37 4.6 2.95 2.87 4.82 2.06 2.1 2.63 2.67 3.34 2.1 3.21];
maxTime=[57 59 47 52 51 58 74 69 73 57 73 76 73 66 51];
costBM=[7.97 5.26 7.21 6.13 7.01 5.99 5.21 6.23 5.23 5.18 6.22 7.32 5.48 7.33 5.03];
costEM=[9.97 11.76 10.69 10.09 10.84 10.37 9.11 11.57 10.47 9.9 10.87 9.41 10.61 10.3 9.38];
BM=[35 38 32 37 38 37 20 35 25 35 29 22 20 24 22];
