nServices=120;
nDrivers=90;
nBuses=120;
maxBuses=90;
startingTime=[273 183 27 46 73 118 319 331 139 0 292 180 160 316 88 141 225 321 240 44 268 295 220 120 46 214 194 315 207 311 110 146 228 104 26 169 98 31 195 149 201 142 66 326 291 252 145 56 72 157 186 209 157 249 67 7 247 166 89 97 300 78 31 214 210 23 50 149 116 244 107 273 172 315 243 58 80 101 28 79 347 316 235 315 104 218 137 140 173 108 308 171 318 252 95 37 269 43 174 199 198 17 202 138 243 280 291 53 14 175 160 142 217 141 288 172 155 128 332 281];
durationTime=[54 54 47 49 20 29 21 51 32 44 47 33 36 31 21 51 34 25 37 48 46 37 55 41 51 38 22 32 20 24 35 58 20 37 32 48 35 46 49 60 27 53 27 26 30 36 27 51 33 60 46 20 34 43 23 51 50 59 33 37 26 60 43 34 41 21 38 21 60 41 59 36 25 32 60 23 53 41 36 47 47 28 51 35 53 52 40 39 39 45 22 33 22 28 36 48 35 21 39 42 55 32 30 28 56 26 33 33 22 51 45 30 47 42 36 45 59 40 30 58];
durationDist=[15 2 2 5 9 8 13 11 4 20 13 8 2 17 3 10 4 18 13 17 6 2 3 10 18 6 18 10 2 12 16 13 18 18 8 17 18 17 18 14 9 8 12 6 5 4 6 11 11 6 14 2 7 14 16 6 7 6 4 13 7 17 7 10 4 9 6 16 13 9 6 19 7 9 2 13 12 2 14 9 19 4 16 3 20 16 6 4 5 18 4 5 10 20 12 17 4 18 10 14 17 10 10 15 11 6 5 20 4 11 12 17 12 12 17 13 3 12 8 16];
passangers=[5 27 19 39 49 14 12 19 16 10 44 18 30 43 8 49 2 15 18 5 37 4 39 23 20 20 10 36 15 36 45 14 49 3 24 7 11 39 18 2 2 27 43 48 15 14 23 12 36 3 35 48 18 29 25 14 37 11 28 3 2 13 12 3 17 50 45 39 21 18 36 45 42 30 44 26 32 33 49 18 40 8 27 40 43 5 29 17 28 19 21 42 34 20 35 40 11 29 14 37 9 21 6 36 47 49 48 17 15 11 32 36 40 24 9 22 8 20 41 21];
capacity=[33 21 24 39 15 33 19 57 51 29 43 20 45 40 46 15 19 24 25 19 34 60 41 30 56 30 14 30 42 55 16 60 59 26 34 17 37 58 15 41 34 28 42 21 48 57 45 23 13 26 10 52 46 19 44 52 18 30 25 58 31 39 59 58 26 56 46 12 27 16 56 12 42 32 53 21 31 12 36 39 13 57 43 17 26 55 23 40 43 31 30 49 60 28 22 23 16 56 19 13 22 26 46 39 30 29 58 53 13 39 33 29 31 23 28 40 50 28 59 12];
costTime=[1.85 1.8 1.33 1.93 1.75 1.72 1.07 1.9 1.51 1.68 1.14 1.92 1.3 1.05 1.77 1.46 1.05 1.88 1.86 1.95 1.2 1.54 1.79 1.22 1.32 1.7 1.73 1.04 1.66 1.3 1.79 1.5 1.71 1.02 1.78 1.45 1.99 1.39 1.76 1.26 1.04 1.61 1.54 1.61 1.78 1.52 1.6 1.05 1.06 1.28 1.59 1.84 1.47 1.34 1.54 1.73 1.3 1.15 1.35 1.83 1.55 1.86 1.25 1.79 1.55 1.67 1.31 1.89 1.98 1.48 1.83 1.72 1.4 1.97 1.6 1.34 1.61 1.71 1.16 1.0 1.78 1.92 1.88 1.02 1.24 1.57 1.57 1.0 1.24 1.78 1.92 1.57 1.65 1.65 1.32 1.61 1.65 1.23 1.63 1.43 1.83 1.77 1.13 1.3 1.39 1.77 1.54 1.51 1.21 1.48 1.01 1.18 1.65 1.75 1.44 1.28 1.25 1.55 1.28 1.65];
costDist=[4.83 2.59 4.82 4.09 3.7 3.81 3.82 3.35 4.79 4.15 4.42 4.44 2.33 4.26 3.82 3.1 4.62 2.43 4.01 2.63 4.89 3.49 2.97 2.8 2.08 4.29 2.49 4.19 3.72 3.88 3.29 3.94 3.57 2.53 3.53 4.39 4.73 3.5 3.47 3.19 2.12 3.98 3.68 4.07 2.67 2.04 4.02 3.13 4.64 3.7 3.07 4.65 2.94 2.21 3.81 4.1 4.59 2.68 4.03 3.94 2.74 3.42 4.39 4.63 3.04 3.24 2.91 2.63 3.24 4.28 3.07 4.64 4.78 4.8 3.06 2.32 3.66 2.79 4.67 3.97 4.42 2.59 2.67 2.51 4.89 2.04 2.03 4.15 2.99 4.27 2.4 4.97 2.08 4.64 3.25 4.44 2.44 2.27 4.71 4.21 2.06 2.41 3.49 2.63 3.17 4.97 2.82 2.14 2.15 3.44 2.43 4.22 3.02 2.03 4.46 2.38 3.15 3.58 3.08 3.45];
maxTime=[62 73 41 74 44 80 79 56 57 57 54 76 52 78 50 74 51 52 45 41 43 79 80 46 52 79 70 40 71 52 49 52 58 57 69 63 73 62 50 62 68 55 52 46 59 55 78 51 69 61 78 58 76 51 74 44 42 56 77 51 50 73 45 79 76 47 80 52 63 45 42 55 70 70 77 52 80 62 47 51 46 70 41 44 52 78 77 60 78 65];
costBM=[5.64 7.86 5.55 6.09 7.0 6.15 5.63 5.82 6.65 7.47 7.19 6.69 7.15 5.1 6.63 7.0 6.43 7.11 7.63 5.22 5.22 5.43 7.79 5.0 6.36 5.69 5.06 5.15 5.39 7.29 7.23 7.44 5.86 5.11 5.95 5.06 5.92 5.42 5.96 5.36 6.6 6.85 6.38 7.89 5.02 7.88 6.23 7.79 7.48 7.57 6.18 6.78 6.84 5.2 7.25 5.1 7.82 6.4 5.72 6.03 7.31 6.58 7.51 7.89 7.27 6.43 6.26 5.1 6.29 5.12 6.69 6.49 5.75 7.09 6.22 5.37 5.47 7.13 7.96 6.78 5.51 5.91 7.32 5.18 6.89 5.34 7.84 5.81 5.42 6.94];
costEM=[9.38 9.88 10.1 10.27 9.21 10.5 11.39 10.04 8.94 10.17 9.42 9.91 10.75 9.64 9.02 11.19 9.79 9.1 11.14 10.6 9.89 10.07 8.82 9.68 10.53 10.91 8.79 11.48 9.73 10.93 9.28 10.99 9.75 8.17 8.32 8.49 8.64 10.36 11.11 10.07 9.54 10.4 8.91 8.56 8.04 9.72 11.8 10.1 11.02 11.48 10.99 8.58 9.72 10.85 9.61 9.34 11.83 8.46 10.32 10.63 11.2 9.76 11.06 8.64 8.33 11.16 8.39 9.17 8.74 8.82 8.78 8.75 10.56 11.45 10.31 11.21 9.37 10.43 8.66 9.31 10.31 10.82 8.17 10.34 10.41 9.21 11.95 10.99 10.11 9.96];
