nServices=20;
nDrivers=15;
nBuses=20;
maxBuses=15;
startingTime=[246 111 210 31 71 21 222 11 28 102 259 149 210 154 293 192 295 131 68 104];
durationTime=[25 55 35 60 44 29 23 27 34 22 48 28 39 43 27 48 20 42 44 56];
durationDist=[16 4 4 14 14 5 5 7 4 10 13 19 7 17 11 18 2 8 7 12];
passangers=[7 37 36 29 49 7 47 16 4 28 3 8 43 22 24 6 18 25 49 10];
capacity=[12 14 15 40 40 37 29 41 15 48 48 25 26 29 46 52 42 17 57 31];
costTime=[1.29117002248 1.3401286894 1.14837814211 1.35049169044 1.71407358797 1.6046209071 1.88930592033 1.42292837832 1.2637766427 1.36112969577 1.07187522834 1.52239603377 1.43525195121 1.13788345281 1.84539356026 1.24665588389 1.66032314556 1.65115885213 1.17443921204 1.53257479998];
costDist=[4.94057864089 4.38448764042 2.10400011658 4.37070410392 3.66031257621 2.64246853762 2.77852199424 3.81786143534 4.0389035901 4.54875674288 3.66506945484 2.5143055921 2.40619570792 2.59227873242 2.19420264602 4.03704034543 4.6645775665 3.52932290324 2.223581093 2.66821824883];
maxTime=[72 61 42 68 61 57 61 40 77 71 71 52 49 77 40];
costBM=[7.25344070033 6.52665696325 7.35974570919 5.35545341812 6.52784723515 7.50848431563 5.213355253 7.26131286359 6.02601598788 6.30413251398 7.44391220343 5.38707939243 6.05385828486 5.2332056155 7.40105116767];
costEM=[11.8180630087 8.20247447328 9.19095968243 8.68096959275 8.83264016583 8.94394105223 11.3236368636 9.90731042172 10.00819 10.7386674915 9.69200547472 8.58252041441 11.3784758596 11.4488855443 10.2776485092];
BM=[29 25 29 24 28 37 36 28 21 29 25 39 40 35 31];
