nServices=20;
nDrivers=15;
nBuses=20;
maxBuses=15;
startingTime=[206 155 197 293 277 208 57 262 99 124 117 79 121 171 283 195 30 37 30 52];
durationTime=[43 37 59 46 28 21 54 42 52 41 45 52 26 34 34 44 23 48 60 31];
durationDist=[16 13 18 19 10 18 7 3 13 8 12 11 10 7 4 15 2 9 9 12];
passangers=[18 13 17 16 47 19 25 19 21 4 16 44 13 13 34 5 24 31 42 45];
capacity=[54 28 44 32 27 52 24 23 59 24 47 53 25 53 42 41 55 21 53 22];
costTime=[1.34 1.36 1.61 1.26 1.13 1.19 1.38 1.76 1.69 1.83 1.8 1.97 1.67 1.75 1.11 1.62 1.25 1.3 1.68 1.84];
costDist=[3.69 4.83 2.87 4.81 3.19 4.78 3.77 3.6 4.67 4.94 2.13 3.42 2.05 2.66 2.35 4.03 2.55 3.73 4.11 2.7];
maxTime=[48 49 50 43 56 74 79 72 69 41 43 68 43 68 61];
costBM=[7.45 7.03 7.68 7.76 7.14 5.12 6.24 7.01 5.77 7.36 6.15 6.56 5.65 6.96 5.5];
costEM=[11.09 9.78 10.67 9.47 9.7 10.48 9.24 10.61 8.55 11.75 11.93 9.63 10.2 11.61 9.16];
BM=[25 31 31 30 39 40 26 25 28 22 24 37 30 23 32];
