nServices=20;
nDrivers=15;
nBuses=20;
maxBuses=15;
startingTime=[26 170 250 168 173 127 296 172 131 64 205 55 245 196 270 254 172 202 33 31];
durationTime=[20 24 52 43 31 24 35 41 57 28 49 46 35 41 58 28 60 29 59 40];
durationDist=[15 13 13 2 2 9 4 17 7 12 15 9 17 5 10 13 7 10 18 7];
passengers=[27 5 47 13 24 11 25 25 9 3 5 12 46 47 43 26 46 36 9 19];
capacity=[18 51 30 44 60 24 25 55 45 43 42 45 45 29 22 17 16 31 47 19];
costTime=[1.16 1.91 1.73 1.82 1.05 1.52 1.96 1.5 1.96 1.45 1.75 1.3 1.65 1.76 1.06 1.38 1.86 1.32 1.69 1.28];
costDist=[3.29 3.69 2.52 5.0 3.57 3.61 3.16 4.98 2.53 4.7 3.68 3.54 3.63 2.13 4.8 3.07 2.21 4.69 4.18 3.38];
maxTime=[58 63 43 47 65 70 52 57 46 70 73 60 62 59 63];
costBM=[5.83 7.6 5.56 6.39 7.21 7.39 5.12 7.46 5.65 5.83 6.06 5.98 6.84 7.72 7.43];
costEM=[9.15 11.46 11.45 10.77 10.76 11.66 8.13 11.35 10.61 11.29 10.92 9.16 10.12 8.0 9.55];
BM=[26 25 32 29 24 21 22 31 38 33 25 21 34 24 23];
