nServices=120;
nDrivers=90;
nBuses=120;
maxBuses=90;
startingTime=[221 331 38 117 350 39 309 172 98 48 241 284 182 0 98 128 124 219 99 330 299 196 232 258 249 163 85 67 308 295 301 191 133 234 140 294 62 26 316 98 123 324 261 114 139 133 90 270 267 178 163 286 92 245 167 241 8 17 250 305 237 22 153 177 283 152 242 73 158 307 307 203 327 91 14 149 234 94 184 178 180 216 77 24 302 105 87 195 236 70 262 148 97 19 283 82 236 32 0 167 112 305 173 287 271 289 111 283 216 272 243 142 232 215 188 207 283 47 334 155];
durationTime=[20 30 31 42 20 37 23 49 46 49 23 54 20 38 47 38 47 32 48 37 41 56 49 43 33 58 42 49 34 53 29 56 44 24 51 50 27 30 20 45 52 31 59 22 35 56 20 37 40 30 36 26 58 39 47 43 50 42 59 49 33 36 48 52 45 28 52 31 35 29 36 22 58 55 39 45 25 35 52 45 53 58 41 35 24 38 53 46 56 40 34 48 42 37 43 38 23 57 49 30 52 23 39 25 46 30 47 46 33 27 41 59 30 29 49 42 29 21 35 41];
durationDist=[12 6 15 11 14 10 11 6 15 5 11 2 10 3 15 17 5 6 2 6 5 9 17 4 6 9 19 5 20 10 19 18 15 17 8 5 9 16 5 4 12 8 6 13 16 9 8 9 15 3 9 3 8 5 4 13 12 12 12 8 2 16 6 14 9 7 13 9 16 15 2 8 17 11 20 4 14 11 18 11 19 6 17 12 13 19 10 19 18 2 13 11 4 6 2 4 16 7 18 19 10 18 4 5 8 3 16 19 17 11 5 8 9 12 20 16 5 12 15 14];
passangers=[31 14 41 25 18 38 15 35 12 10 18 21 6 41 9 48 33 38 27 12 41 30 49 42 12 29 36 2 20 49 23 47 2 9 44 6 4 23 43 49 20 41 39 48 37 7 12 23 38 48 33 24 36 41 42 23 16 5 28 23 10 49 7 41 4 39 33 35 31 16 17 38 8 30 37 12 39 37 4 30 29 47 14 10 20 43 25 10 39 40 33 44 12 22 17 28 40 12 47 41 7 37 41 5 22 2 37 14 4 19 16 6 41 28 33 35 12 50 34 39];
capacity=[49 26 36 23 48 59 55 14 17 29 59 20 40 18 28 55 25 36 47 32 15 54 37 47 49 60 36 41 54 17 22 47 49 23 23 53 51 25 44 43 52 48 21 12 20 26 38 31 19 57 58 60 17 45 38 42 43 12 45 49 43 12 54 53 48 23 48 39 40 48 48 38 44 22 19 31 50 50 42 33 29 30 30 59 40 33 10 10 52 31 17 47 31 26 16 22 24 49 38 26 19 47 55 46 31 35 20 51 30 54 52 25 23 12 53 38 17 43 49 33];
costTime=[1.76 1.44 1.5 1.76 1.06 1.35 1.17 1.31 1.63 1.64 1.53 1.2 1.22 1.07 1.33 1.26 1.23 1.55 1.55 1.34 1.11 1.56 1.89 1.41 1.1 1.05 1.71 1.32 1.19 1.82 1.09 1.82 1.11 1.63 1.11 1.06 1.19 1.5 1.74 1.09 1.52 1.53 1.1 1.93 1.46 1.66 1.38 1.01 1.97 1.27 1.48 1.77 1.8 1.0 1.47 1.53 1.27 1.42 1.65 1.47 1.62 1.24 1.74 1.62 1.29 1.38 1.14 1.51 1.06 1.68 1.56 1.51 1.67 1.28 1.76 1.44 1.25 1.6 1.84 1.02 1.95 1.21 1.51 1.65 1.47 1.87 1.5 1.48 1.61 1.97 1.05 1.59 1.71 1.51 1.89 1.63 1.97 1.81 1.77 1.33 1.22 1.09 1.61 1.8 1.4 1.9 1.85 1.18 1.67 1.72 1.01 1.39 1.99 1.85 1.01 1.06 1.46 1.77 1.1 1.59];
costDist=[3.8 4.47 3.21 2.59 3.54 4.86 2.38 2.63 4.41 4.54 4.78 3.35 4.63 2.53 4.31 4.52 3.83 2.95 2.11 3.45 3.38 3.56 3.81 4.28 3.16 3.4 3.83 4.23 3.07 3.87 4.83 2.26 2.99 2.48 3.8 3.78 4.61 2.41 2.27 4.01 4.18 4.23 4.93 2.24 2.43 4.42 4.19 2.76 4.57 3.54 3.84 3.46 3.11 3.26 3.95 4.19 2.04 2.13 3.89 4.11 4.46 3.91 2.74 4.56 2.52 3.02 2.62 3.51 2.19 3.59 3.34 4.95 4.37 4.78 2.75 4.69 4.43 2.83 3.14 4.78 3.6 4.2 2.77 2.9 2.61 2.77 3.59 2.53 4.39 3.84 3.38 4.92 4.09 3.25 3.9 3.68 3.16 3.42 3.45 4.7 2.31 3.56 2.67 3.78 2.84 4.34 2.22 2.8 2.81 2.75 2.73 4.98 4.54 2.13 4.5 4.08 2.89 3.85 2.48 3.51];
maxTime=[50 68 65 67 57 59 76 52 77 74 47 78 62 40 58 64 68 62 62 47 60 55 40 49 48 49 58 77 52 65 66 60 49 51 77 73 77 78 58 79 40 79 66 77 56 59 53 59 43 79 78 68 71 73 69 61 45 68 63 41 50 42 77 78 75 56 65 78 78 77 75 50 54 50 42 44 55 74 42 60 53 40 61 53 77 59 64 59 47 56];
costBM=[5.26 6.34 5.05 7.27 5.17 7.89 7.11 5.08 5.58 7.79 7.17 7.06 5.42 5.67 6.19 5.63 6.76 5.7 5.46 7.39 5.3 6.34 5.61 6.18 6.95 5.2 6.33 7.79 7.95 7.27 6.54 6.76 6.11 7.57 5.04 7.41 6.78 5.24 5.74 7.25 7.62 7.84 5.63 5.49 6.25 6.75 5.35 7.31 7.85 7.33 7.64 6.03 5.6 5.55 5.11 5.82 7.07 7.04 6.46 7.07 5.15 7.51 7.69 6.81 7.98 7.15 5.43 6.83 7.79 6.39 5.75 5.38 5.35 5.63 6.87 7.34 6.74 7.81 5.19 6.44 5.41 7.34 5.97 5.88 5.31 5.9 6.06 6.53 6.42 7.65];
costEM=[11.46 10.24 8.54 11.87 11.77 9.69 11.72 11.11 8.43 9.85 10.41 11.65 8.64 9.08 11.15 8.97 9.92 10.63 8.82 9.35 8.17 8.35 10.59 11.58 9.73 10.77 11.79 9.38 8.85 8.23 11.97 11.87 8.9 10.89 8.4 9.43 8.76 11.18 9.31 11.79 9.09 10.41 8.67 9.24 8.94 10.74 9.12 8.78 11.51 10.62 8.52 9.79 10.22 8.21 8.36 11.49 9.95 10.3 9.53 10.28 10.68 10.26 10.58 9.19 8.96 8.0 10.58 11.39 10.73 11.79 8.16 10.88 10.43 8.38 8.57 10.58 9.86 11.55 8.02 9.17 9.43 8.88 11.53 9.55 9.98 10.18 8.03 9.77 8.41 10.56];
