nServices=50;
nDrivers=40;
nBuses=50;
maxBuses=40;
startingTime=[88 238 14 65 261 86 58 300 234 221 231 249 263 27 131 206 244 199 289 162 44 185 120 112 217 50 5 243 84 15 65 115 197 284 250 102 10 71 14 238 217 119 175 19 185 124 247 81 180 54];
durationTime=[53 54 31 53 56 33 31 24 43 58 55 29 36 52 36 32 43 24 48 44 25 46 48 38 46 22 48 51 60 45 20 56 36 60 43 23 47 26 28 57 50 45 49 39 53 47 51 54 49 37];
durationDist=[14 9 5 3 17 20 6 15 20 13 4 17 20 9 17 8 18 14 19 14 4 13 5 19 20 13 15 18 19 13 12 10 9 14 12 19 6 20 2 20 16 15 9 20 18 16 5 10 17 10];
passangers=[7 18 13 29 21 34 14 22 5 9 37 16 24 31 8 25 14 37 8 22 41 36 47 31 19 16 26 43 39 6 17 15 10 19 34 47 26 38 35 48 11 27 50 30 24 48 45 43 42 49];
capacity=[30 50 22 48 27 47 46 11 13 12 46 59 10 46 34 28 54 35 39 51 35 25 41 48 20 37 41 24 35 28 42 58 41 31 39 33 17 52 51 27 43 17 44 41 18 58 56 26 27 33];
costTime=[1.95476102843 1.37844398989 1.9240845251 1.37824033301 1.51351687108 1.57344176848 1.85515353957 1.75553708782 1.98423330233 1.94453064103 1.48772016562 1.30088065931 1.3025237696 1.7032230827 1.69593040569 1.91853419628 1.84291584182 1.60958504885 1.69225290869 1.04869497652 1.23598404449 1.69912407204 1.42374349137 1.11731075775 1.97505875505 1.82035841706 1.29698705183 1.98327448139 1.37734687324 1.87931154364 1.05377911748 1.85600867216 1.22454590394 1.07270064565 1.51782680524 1.33634287226 1.99916688684 1.04600670328 1.86472381132 1.28110046003 1.0727430409 1.94814096478 1.37979032138 1.22985092541 1.17938339623 1.15378427 1.20894184103 1.10453987862 1.40109343136 1.02846691163];
costDist=[2.12298218489 3.93097374494 2.51171660334 4.03999680481 3.47920878554 3.24271376139 4.25546201535 4.76417742525 4.57352437237 2.94145109463 4.71954999701 2.84490876977 2.49469231542 4.04728201008 2.4222919855 4.41286282132 3.7527227549 2.26538477947 2.07336529463 4.89377990896 3.71162320394 2.36925564669 3.57532473936 4.31545336156 2.20538457113 3.74394019011 3.84506467292 2.79036725465 3.02139628024 2.60321535272 2.52924948993 2.72892988466 2.29716873832 4.1566888132 2.91168776135 3.31258800357 3.46448695231 2.07432326271 4.36800965232 3.51133321584 4.0735626279 3.96324775138 4.76077842271 3.53532779117 2.29758979119 4.65151761389 3.71684106827 2.74631119083 4.93952163317 2.21559164401];
maxTime=[41 61 43 45 63 77 79 71 66 46 78 65 78 60 62 73 56 58 77 51 75 63 60 60 50 73 69 80 59 60 47 41 65 63 69 40 78 42 48 57];
costBM=[5.9474590241 7.33327683941 5.35908263431 5.31457037951 6.12566490949 5.32047105696 7.23882588568 6.32127521198 6.4953686429 5.72000990965 5.43301554924 7.04944280667 6.63418618425 5.81426599263 5.59341271386 7.53445867074 5.34792808723 7.03277344375 5.5724828813 6.06176290642 5.72550241077 5.69801870917 6.73442667994 6.48602453395 6.15819460688 6.08586434783 7.68778991994 6.13518945049 7.8996352501 6.57856346268 6.35239109317 5.21578195617 7.64900097711 5.42350171666 7.98268509441 7.49594222394 5.09794063291 6.8029152774 5.6002980522 7.0843710805];
costEM=[10.4201875695 10.0650325119 9.83453685333 9.48845031379 8.31221458371 9.80372621789 8.32142084722 9.14716531274 11.6350587782 8.33162017925 8.56194280354 8.97253419853 8.96458700749 11.8557593641 10.3697506811 9.47730784562 10.3666296232 10.2586909364 9.25493409427 10.9319120428 11.6169165348 10.2573876981 10.7167230057 9.28852760842 11.1178288646 8.54673574152 9.92586453659 10.3494890229 9.21755096955 8.09791740803 11.7856344594 11.6887348557 10.616908074 11.3318534457 11.1467551007 8.02786467015 11.954394125 9.34113024022 11.21000241 9.15612502855];
BM=[31 33 24 38 24 35 32 38 25 20 27 29 36 20 39 20 21 27 22 40 28 33 29 22 30 23 22 34 29 40 29 33 21 28 36 27 24 39 40 30];
