nServices=70;
nDrivers=55;
nBuses=70;
maxBuses=55;
startingTime=[75 113 174 128 0 171 84 153 113 208 261 53 236 263 55 226 33 240 119 45 45 273 136 177 272 201 275 225 155 61 182 261 221 40 94 261 177 120 42 53 152 142 36 180 70 291 245 208 58 37 262 141 197 7 266 105 199 74 284 36 187 298 236 143 63 100 96 37 32 32];
durationTime=[33 56 45 24 31 35 52 22 20 54 57 39 45 26 26 28 28 29 37 48 29 26 55 45 58 29 34 21 28 36 46 40 44 37 36 40 29 29 54 59 34 21 57 31 27 38 44 38 36 35 53 55 56 36 37 39 39 49 59 21 52 38 39 28 29 60 25 56 57 30];
durationDist=[17 3 13 18 12 15 2 10 2 7 6 15 3 8 15 6 13 10 20 2 18 2 6 14 12 9 16 9 6 7 10 3 13 11 8 20 2 6 18 2 9 15 6 8 14 16 9 16 14 9 5 11 9 2 7 12 2 2 7 13 20 6 15 10 3 8 8 3 3 2];
passangers=[5 49 5 25 7 4 17 22 49 14 11 16 8 33 16 24 26 2 3 15 28 38 8 6 42 7 47 30 46 12 37 42 21 44 23 6 43 23 47 14 41 46 9 44 26 2 16 10 33 30 17 2 13 39 13 42 32 35 19 19 3 41 13 21 10 10 42 17 13 29];
capacity=[38 31 55 16 14 57 56 24 30 26 38 49 39 27 30 59 57 14 55 33 33 22 19 33 26 53 39 13 35 34 24 22 11 32 22 17 50 11 26 40 10 31 35 13 16 13 41 22 46 45 22 53 60 19 31 47 25 12 19 48 41 28 48 42 35 39 48 14 16 15];
costTime=[1.19567609941 1.73612222624 1.01698464315 1.08756482508 1.89754989576 1.61186795519 1.19583356983 1.30100039261 1.61152303535 1.47461009146 1.78294099384 1.4377640661 1.4396597067 1.76420953338 1.47984687778 1.46855498053 1.75261859979 1.91445304781 1.5093074889 1.68816917587 1.76241344113 1.50944910062 1.25492356425 1.36686815306 1.38503232629 1.47612985173 1.47233913992 1.12053940588 1.71884596981 1.34130685257 1.0375408466 1.23603344868 1.22537155108 1.30887133716 1.48522814511 1.55026168953 1.72092808475 1.43302512719 1.11467519737 1.51145846701 1.29509295604 1.22631354427 1.63232842214 1.27403224087 1.02104908625 1.295326529 1.52018953143 1.69129352204 1.21912538826 1.06311189138 1.38810655771 1.20183949274 1.3052308864 1.27943832486 1.3892318227 1.10143834601 1.04420485082 1.42104618321 1.07189031479 1.63702053587 1.01243503255 1.77551629524 1.50377718496 1.40777249834 1.23683036469 1.57846281811 1.16280235201 1.45081190959 1.68850169636 1.35918017346];
costDist=[4.7419280095 4.78085399117 2.88470357713 4.86956532432 2.62300711883 2.79858226751 3.6549368316 4.08597994332 3.48669919167 4.82287145909 3.28971477881 2.78552066275 3.53544183541 4.62543730101 2.84591208941 3.55046352901 2.44610032693 2.24579280233 2.96925083211 3.43406710866 2.75692690006 4.9173995339 3.12044628974 3.95791545645 3.65540251898 3.57871202866 4.51725602752 3.76773256801 4.30102503336 2.86320913511 3.08759903798 2.04616106809 3.35527028094 3.6778252892 3.81098436269 4.59805874815 3.54235804478 3.3995568513 4.95402500797 3.62307272675 4.95121962047 3.08500826982 3.66657121186 2.69336375658 4.12095683458 3.78690960316 4.09252156943 2.6551473712 2.96922212757 4.65780012773 2.76185332881 4.48802597354 3.16103892075 2.83426043956 2.62701494822 3.06167441594 3.15181146716 4.99224954116 3.58954677476 4.44097276913 2.32784843788 2.01775001628 4.98761206119 4.34978561661 3.14968625785 2.32335099764 4.11511896143 3.30761081884 2.53461365874 2.57486477412];
maxTime=[73 74 48 71 50 66 47 62 80 58 63 52 42 72 45 62 44 60 58 73 61 61 69 62 59 74 53 73 55 46 48 42 60 49 67 58 63 69 45 49 71 80 78 51 64 63 75 77 55 78 42 43 67 53 45];
costBM=[6.88806222703 6.72021098997 5.81786504899 7.15511501145 6.49629086587 6.59883075432 6.34702728784 6.7486711246 7.85881914968 5.70604498505 6.21349755651 5.79703951498 6.77776284821 7.77129169996 6.15964601825 7.15492874586 6.9065791817 6.91881098621 7.34655828328 6.854619455 5.90004196511 7.75177417882 7.90090556541 6.23026614235 5.27363739319 7.70020812633 6.37898253759 7.13155311542 5.12684620315 5.68452829561 5.2052601372 7.10478082169 6.63554797949 6.10277999557 6.54751089632 6.12108158368 6.88222218803 6.98261205779 6.96597915376 5.52514746804 6.80067565721 6.50140317816 7.09466093881 5.97851107324 5.61480686167 5.91837377492 6.64490706465 5.19364589812 6.52701323256 7.51345031958 7.47425881384 5.65616649857 7.86972727841 6.39954435332 5.6182505561];
costEM=[11.2848940664 11.5265528978 8.6442320413 8.34824264649 8.23804210062 10.0275395629 8.52902308008 11.8436458827 10.8050747304 11.0574038609 11.3503689662 8.63812609813 9.39539676871 9.44108623518 10.5136888135 10.4983425707 9.11681244612 10.3328087638 10.0272219801 9.13679107069 11.1677310874 10.2084630501 10.2509010372 8.05208958681 8.28613869522 10.090715663 10.6227672264 9.51294685404 10.1914016827 11.2565470647 11.2830763324 10.0269758113 10.6271754366 8.7699201634 10.3732738504 11.7066025689 8.35955364956 8.59833178025 9.97958369952 11.466112075 11.808656185 11.7679030121 9.76274862722 9.80523515158 11.1383988988 9.23372178166 11.8158745709 11.2423160927 9.88147429347 8.62034814044 10.3571479891 8.73188235951 11.9939198332 10.6296555181 9.68335428998];
BM=[27 30 27 34 35 25 40 27 27 34 38 28 29 22 21 37 21 39 36 27 22 20 38 32 23 35 25 28 25 23 29 22 36 31 38 21 29 39 36 40 32 28 26 35 23 26 22 39 27 25 40 24 37 35 37];
